"Registered.Syrian.Refugees","date"
305317,"2012-10-31"
306555,"2012-11-01"
314180,"2012-11-02"
314137,"2012-11-04"
320225,"2012-11-05"
322597,"2012-11-06"
326025,"2012-11-07"
327763,"2012-11-08"
328547,"2012-11-11"
357545,"2012-11-12"
359273,"2012-11-13"
364020,"2012-11-14"
364047,"2012-11-15"
365585,"2012-11-16"
365623,"2012-11-17"
371645,"2012-11-18"
379626,"2012-11-19"
380895,"2012-11-20"
385224,"2012-11-21"
387675,"2012-11-22"
389020,"2012-11-23"
389343,"2012-11-24"
389562,"2012-11-25"
396760,"2012-11-26"
399149,"2012-11-27"
403490,"2012-11-28"
405890,"2012-11-29"
407070,"2012-11-30"
407100,"2012-12-01"
409598,"2012-12-02"
411428,"2012-12-03"
416984,"2012-12-05"
430804,"2012-12-06"
431979,"2012-12-07"
432790,"2012-12-08"
434299,"2012-12-09"
437433,"2012-12-10"
442279,"2012-12-11"
444808,"2012-12-12"
448013,"2012-12-13"
450328,"2012-12-14"
452826,"2012-12-16"
457653,"2012-12-17"
459948,"2012-12-18"
463236,"2012-12-19"
475552,"2012-12-20"
478399,"2012-12-21"
478674,"2012-12-22"
480467,"2012-12-23"
483915,"2012-12-24"
483939,"2012-12-25"
485922,"2012-12-26"
490581,"2012-12-27"
493423,"2012-12-28"
494818,"2012-12-29"
495781,"2012-12-30"
497965,"2012-12-31"
501651,"2013-01-01"
506097,"2013-01-02"
507962,"2013-01-03"
509402,"2013-01-04"
509575,"2013-01-05"
518511,"2013-01-06"
520371,"2013-01-07"
524999,"2013-01-08"
525911,"2013-01-09"
527958,"2013-01-10"
529308,"2013-01-11"
529307,"2013-01-12"
530278,"2013-01-13"
537001,"2013-01-14"
544093,"2013-01-15"
553814,"2013-01-17"
557290,"2013-01-18"
563875,"2013-01-20"
570119,"2013-01-21"
577662,"2013-01-22"
583877,"2013-01-23"
583866,"2013-01-24"
585584,"2013-01-25"
585604,"2013-01-26"
596813,"2013-01-27"
612306,"2013-01-28"
618055,"2013-01-29"
625347,"2013-01-30"
630755,"2013-01-31"
632020,"2013-02-01"
632252,"2013-02-02"
650198,"2013-02-04"
655841,"2013-02-05"
668411,"2013-02-06"
674516,"2013-02-07"
676903,"2013-02-08"
677996,"2013-02-09"
686181,"2013-02-10"
691683,"2013-02-11"
697826,"2013-02-12"
703785,"2013-02-13"
707998,"2013-02-14"
711447,"2013-02-15"
712132,"2013-02-16"
726447,"2013-02-17"
731754,"2013-02-18"
737866,"2013-02-19"
744264,"2013-02-20"
753780,"2013-02-21"
756059,"2013-02-22"
756157,"2013-02-24"
763533,"2013-02-25"
766249,"2013-02-26"
770754,"2013-02-27"
