name,module_name,module_type,value,updated_at
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",965595,"2014-10-31 07:51:29"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",966992,"2014-09-30 20:19:53"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",967038,"2014-09-30 20:19:53"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",967041,"2014-10-13 15:57:14"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",965732,"2014-09-30 20:19:53"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",964269,"2014-09-30 20:19:53"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",963979,"2014-08-31 20:10:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",960911,"2014-08-31 20:10:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",957275,"2014-08-31 20:10:04"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",956564,"2014-07-31 13:26:43"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",955917,"2014-07-31 13:26:43"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",955919,"2014-07-31 10:18:05"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",957364,"2014-07-10 14:54:03"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",956734,"2014-07-10 14:54:03"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",956732,"2014-07-10 14:54:03"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",955750,"2014-07-07 12:02:37"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",954095,"2014-06-30 12:34:28"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",954089,"2014-06-26 16:52:53"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",956280,"2014-06-23 17:01:26"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",955409,"2014-06-05 18:15:05"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",952930,"2014-06-05 18:15:05"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",952237,"2014-06-05 18:15:05"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",952531,"2014-05-31 13:43:16"
horn,"Registered Somali Refugee Population","Total Population & Demogrpahy",949735,"2014-05-17 10:42:33"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",37907,"2015-02-28 20:11:12"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",37847,"2015-01-31 20:34:36"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",38109,"2014-12-31 03:59:14"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",38428,"2014-11-30 13:36:29"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",38217,"2014-10-31 18:06:08"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",38147,"2014-09-30 23:26:59"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",37929,"2014-08-31 09:53:41"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",37929,"2014-07-31 18:39:02"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",37727,"2014-06-30 22:48:17"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",42111,"2014-05-31 00:19:09"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",42026,2014-04-30
liberia,"Registered Refugee Population","Total Population & Demogrpahy",42026,2014-04-30
liberia,"Registered Refugee Population","Total Population & Demogrpahy",42026,"2014-04-30 03:56:46"
liberia,"Registered Refugee Population","Total Population & Demogrpahy",0,2011-12-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",43613,2014-03-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",46267,2014-02-28
liberia,"Registered Refugee Population","Total Population & Demogrpahy",51419,2012-07-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",51525,2014-01-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",51778,2012-06-30
liberia,"Registered Refugee Population","Total Population & Demogrpahy",52524,2012-05-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",52786,2014-01-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",54618,2013-12-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",57436,2012-08-31
liberia,"Registered Refugee Population","Total Population & Demogrpahy",57724,2013-11-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",58276,2013-08-02
liberia,"Registered Refugee Population","Total Population & Demogrpahy",58331,2013-10-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",58484,2013-07-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",58710,2013-09-02
liberia,"Registered Refugee Population","Total Population & Demogrpahy",58965,2012-09-30
liberia,"Registered Refugee Population","Total Population & Demogrpahy",59642,2013-06-05
liberia,"Registered Refugee Population","Total Population & Demogrpahy",59822,2012-11-09
liberia,"Registered Refugee Population","Total Population & Demogrpahy",60385,2013-05-07
liberia,"Registered Refugee Population","Total Population & Demogrpahy",60432,2013-01-16
