name,module_name,value,updated_at
syria,Registered Syrian Refugees,1981868,2009-09-21
syria,Registered Syrian Refugees,3741810,2011-02-18
syria,Registered Syrian Refugees,130780,2008-07-31
syria,Registered Syrian Refugees,111268,2008-07-13
syria,Registered Syrian Refugees,111268,2008-07-14
syria,Registered Syrian Refugees,986639,2009-03-26
syria,Registered Syrian Refugees,2760156,2010-05-26
syria,Registered Syrian Refugees,1552994,2009-06-26
syria,Registered Syrian Refugees,414407,2008-12-03
syria,Registered Syrian Refugees,1510354,2009-06-19
syria,Registered Syrian Refugees,2544736,2010-03-22
syria,Registered Syrian Refugees,3748708,2011-03-03
syria,Registered Syrian Refugees,2641162,2010-04-16
syria,Registered Syrian Refugees,585584,2009-01-24
syria,Registered Syrian Refugees,73630,2008-05-31
syria,Registered Syrian Refugees,2366732,2010-01-20
syria,Registered Syrian Refugees,64551,2008-05-15
syria,Registered Syrian Refugees,937253,2009-03-20
syria,Registered Syrian Refugees,3007635,2010-09-24
syria,Registered Syrian Refugees,12249,2008-01-18
syria,Registered Syrian Refugees,553814,2009-01-16
syria,Registered Syrian Refugees,3033972,2010-11-16
syria,Registered Syrian Refugees,1718857,2009-08-04
syria,Registered Syrian Refugees,2319063,2010-01-06
syria,Registered Syrian Refugees,2086233,2009-10-18
syria,Registered Syrian Refugees,3747518,2011-03-01
syria,Registered Syrian Refugees,2600104,2010-04-05
syria,Registered Syrian Refugees,1778429,2009-08-23
syria,Registered Syrian Refugees,3024494,2010-10-21
syria,Registered Syrian Refugees,2771190,2010-06-04
syria,Registered Syrian Refugees,3103769,2010-12-01
syria,Registered Syrian Refugees,934280,2009-03-19
syria,Registered Syrian Refugees,518511,2009-01-05
syria,Registered Syrian Refugees,3003023,2010-09-21
syria,Registered Syrian Refugees,1064495,2009-04-05
syria,Registered Syrian Refugees,3026510,2010-11-02
syria,Registered Syrian Refugees,788417,2009-03-06
syria,Registered Syrian Refugees,2061018,2009-10-07
syria,Registered Syrian Refugees,238835,2008-09-24
syria,Registered Syrian Refugees,2614079,2010-04-11
syria,Registered Syrian Refugees,1374865,2009-05-25
syria,Registered Syrian Refugees,2647871,2010-04-12
syria,Registered Syrian Refugees,978982,2009-03-25
syria,Registered Syrian Refugees,2308438,2009-12-18
syria,Registered Syrian Refugees,2897161,2010-07-23
syria,Registered Syrian Refugees,703785,2009-02-12
syria,Registered Syrian Refugees,212882,2008-09-09
syria,Registered Syrian Refugees,1775992,2009-08-21
syria,Registered Syrian Refugees,3031746,2010-09-29
syria,Registered Syrian Refugees,3225248,2011-01-04
syria,Registered Syrian Refugees,2691072,2010-05-01
syria,Registered Syrian Refugees,1474184,2009-06-13
syria,Registered Syrian Refugees,3746998,2011-02-28
syria,Registered Syrian Refugees,3032619,2010-11-12
syria,Registered Syrian Refugees,1112599,2009-04-13
syria,Registered Syrian Refugees,46589,2008-04-22
syria,Registered Syrian Refugees,2965312,2010-08-30
syria,Registered Syrian Refugees,79360,2008-06-09
syria,Registered Syrian Refugees,2979354,2010-09-09
syria,Registered Syrian Refugees,1641470,2009-07-18
syria,Registered Syrian Refugees,835430,2009-03-09
syria,Registered Syrian Refugees,1561526,2009-06-30
syria,Registered Syrian Refugees,2315552,2009-12-23
syria,Registered Syrian Refugees,66667,2008-05-20
syria,Registered Syrian Refugees,3746537,2011-02-25
syria,Registered Syrian Refugees,1260228,2009-05-02
syria,Registered Syrian Refugees,122304,2008-07-19
syria,Registered Syrian Refugees,2939207,2010-08-18
syria,Registered Syrian Refugees,2030271,2009-10-01
syria,Registered Syrian Refugees,2377984,2010-01-22
syria,Registered Syrian Refugees,2611099,2010-04-09
syria,Registered Syrian Refugees,2967739,2010-09-06
syria,Registered Syrian Refugees,76445,2008-06-04
syria,Registered Syrian Refugees,650198,2009-02-03
syria,Registered Syrian Refugees,60167,2008-05-05
syria,Registered Syrian Refugees,322597,2008-11-05
syria,Registered Syrian Refugees,2320154,2009-12-25
syria,Registered Syrian Refugees,2650244,2010-04-13
syria,Registered Syrian Refugees,45011,2008-04-17
syria,Registered Syrian Refugees,235821,2008-09-22
syria,Registered Syrian Refugees,2447731,2010-02-09
syria,Registered Syrian Refugees,380895,2008-11-19
syria,Registered Syrian Refugees,299121,2008-10-23
syria,Registered Syrian Refugees,2176160,2009-11-12
syria,Registered Syrian Refugees,3718485,2011-01-17
syria,Registered Syrian Refugees,1593920,2009-07-07
syria,Registered Syrian Refugees,537001,2009-01-13
syria,Registered Syrian Refugees,904409,2009-03-12
syria,Registered Syrian Refugees,265360,2008-10-04
syria,Registered Syrian Refugees,1440662,2009-06-06
syria,Registered Syrian Refugees,327763,2008-11-07
syria,Registered Syrian Refugees,226414,2008-09-18
syria,Registered Syrian Refugees,431979,2008-12-06
syria,Registered Syrian Refugees,22131,2008-03-06
syria,Registered Syrian Refugees,3104216,2010-11-19
syria,Registered Syrian Refugees,19654,2008-02-13
syria,Registered Syrian Refugees,300720,2008-10-28
syria,Registered Syrian Refugees,2205419,2009-11-20
syria,Registered Syrian Refugees,270051,2008-10-08
